stage,Epithelial,Germ,Muscle,Neuron,Other,Stromal
24hpf,0,0,8.17,4.09,0,0
72hpf,1.07,0,3.21,0,0,3.21
21Day,4.02,0,2.68,1.34,0,6.69
3Month,0,0,0,0,0,0.32
22Month,2.73,1.09,0,0,0.55,0.55
