stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,122.59,0,0,4.09,388.21,4.09,12.26
72hpf,0,0,0,0,0,42.79,0,1.07
21Day,0,1.34,0,4.02,1.34,45.51,0,1.34
3Month,0.96,3.52,1.28,2.24,0.32,1.6,0,1.28
22Month,0,10.39,1.09,4.92,0,0.55,0.55,0.55
