stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,8.17,0,0,0,4.09,44.95,0
72hpf,5.35,1.07,0,1.07,0,21.4,3.21
21Day,4.02,2.68,0,1.34,2.68,4.02,9.37
3Month,0.96,0,0.32,0,0,0,0.32
22Month,1.09,0,0,0.55,0,0,0
