stage,Endothelial,Epithelial,Immune,Neuron,Stromal
24hpf,0,8.17,0,4.09,0
72hpf,0,1.07,0,0,1.07
21Day,0,14.72,0,4.02,0
3Month,0,3.2,0,0,0.64
22Month,0.55,4.37,0.55,0,0
