stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,0,36.78,8.17
72hpf,2.14,2.14,0,0,0,1.07,14.98,1.07
21Day,0,1.34,2.68,0,0,1.34,4.02,5.35
3Month,0,2.56,0,2.88,9.6,0.64,0,0.64
22Month,0,3.28,0,0,2.19,0,0,0.55
