stage,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
24hpf,0,0,0,4.09,4.09,0
21Day,0,0,0,1.34,0,0
3Month,0.96,0.32,0.32,0,0,0.32
22Month,2.73,0,0,0,0,0
