stage,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,0,0,36.37,0
21Day,0,0,1.34,17.4,1.34
3Month,0.64,0,0.32,0,0
22Month,3.28,0.55,0.55,0,0
