stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Stromal
21Day,0,0,0,1.34,0,0,0
3Month,5.44,0,0.32,47.35,0.32,0,0.32
22Month,18.59,0.55,0,38.81,0,1.09,0
