stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,8.17,89.9,4.09,0,44.95,44.95,457.68,8.17,0,77.64
72hpf,11.77,161.54,58.84,0,29.95,37.44,1203.52,5.35,5.35,114.47
21Day,2.68,269.05,125.82,5.35,107.08,44.17,345.34,1.34,13.39,97.71
3Month,10.56,590.31,7.04,230.68,216.61,28.16,18.88,0.96,17.92,38.71
22Month,20.77,1016.23,8.2,77.08,415.46,19.68,43.73,83.64,14.21,39.91
