stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron
24hpf,0,4.09,0,0,4.09,4.09
72hpf,1.07,0,0,0,0,0
21Day,0,0,2.68,0,1.34,0
3Month,0,0,0,0.64,0,0
