stage,Epithelial,Germ,Immune,Muscle,Neuron,Other
24hpf,0,0,0,0,8.17,0
72hpf,0,0,0,0,3.21,0
21Day,1.34,0,1.34,0,2.68,0
3Month,16,4.8,0.64,0.32,0,0
22Month,2.73,2.19,0.55,0,0,0.55
