stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,24.52,93.99,0,0,20.43,8.17,433.16,4.09,98.07
72hpf,0,26.74,0,0,0,1.07,16.05,0,0
21Day,1.34,0,0,0,0,0,2.68,0,2.68
22Month,3.83,16.4,0.55,47.56,6.56,0.55,0,1.64,2.73
