stage,Epithelial,Muscle,Neuron,Other,Stromal
24hpf,0,0,12.26,0,4.09
72hpf,1.07,1.07,4.28,0,0
21Day,1.34,0,4.02,0,0
22Month,1.64,0,0,0.55,0
