stage,Epithelial,Erythroid,Germ,Neuron,Other,Stromal
72hpf,1.07,1.07,0,57.77,1.07,0
21Day,2.68,1.34,0,28.11,0,0
3Month,1.92,0,0.64,0.64,0,0
22Month,1.64,0,0,0.55,0,1.09
