stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,20.43,0,0,0,0,89.9,4.09
72hpf,5.35,0,0,0,1.07,34.23,2.14
21Day,18.74,1.34,0,1.34,2.68,9.37,8.03
3Month,2.24,0,0.64,0.32,0,0,0
