stage,Epithelial,Germ,Neuron,Other,Stromal
72hpf,3.21,0,1.07,0,0
21Day,4.02,0,1.34,0,1.34
3Month,2.88,0.96,0,0,0
22Month,11.48,0,0,1.09,0
