stage,Germ,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,4.09,0,4.09
72hpf,0,1.07,0,9.63,0,0
21Day,0,0,1.34,36.14,0,0
3Month,0.64,0.64,0,4.16,0.32,0
