stage,Endothelial,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,61.3,0,4.09
72hpf,1.07,2.14,0,1.07,124.1,0,18.19
21Day,1.34,4.02,1.34,2.68,52.2,2.68,6.69
