stage,Epithelial,Erythroid,Immune,Neuron,Stromal
24hpf,0,0,0,12.26,0
72hpf,1.07,0,0,1.07,0
21Day,1.34,2.68,0,0,0
3Month,0.32,0,0.32,0,0.32
22Month,2.19,0,0,0,0.55
