stage,Epithelial,Erythroid,Immune,Neuron,Secretory
72hpf,0,0,1.07,7.49,1.07
21Day,0,1.34,0,4.02,0
3Month,0.64,0,0,0,0
22Month,1.64,0,0,0,0
