stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,4.09,0,0,0,0,0
72hpf,0,0,0,8.56,0,1.07
3Month,2.24,0.64,0.32,0,0.32,0
22Month,1.64,0,0,0,0,0
