stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,4.09,4.09,0,0,0
72hpf,0,2.14,0,0,0,21.4,0,1.07,0
21Day,0,1.34,0,0,0,26.77,0,1.34,1.34
3Month,0.64,29.12,336.59,8,0.96,5.44,0,1.6,0.96
22Month,0,20.77,0.55,5.47,0,9.29,1.64,3.83,0
