stage,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,0,0,24.52,0,0
21Day,0,0,1.34,1.34,0
3Month,0.64,0,2.24,0,0.32
22Month,0,0.55,4.92,0,0
