stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
72hpf,2.14,0,0,0,2.14,0,1.07,3.21
21Day,22.76,0,1.34,0,5.35,0,0,2.68
3Month,40.95,1.92,2.24,0.32,0.32,0,0.64,0.96
22Month,160.72,16.4,3.28,1.09,2.19,0.55,2.73,2.19
