stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,12.26,147.11,0,0
72hpf,0,0,0,0,3.21,0,66.33
21Day,0,4.02,0,0,4.02,2.68,57.56
3Month,0.32,1.6,0.32,0.32,0,0,0.32
22Month,0,2.19,0.55,0,0,0.55,0.55
