stage,Epithelial,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,4.09,0,0
72hpf,0,0,0,6.42,0,0
21Day,1.34,0,0,29.45,0,1.34
3Month,0.96,0.64,0,0,0,0
22Month,0,0,0.55,0,0.55,0.55
