stage,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,20.43,0,0,4.09,0,0
72hpf,22.47,0,0,37.44,0,2.14
21Day,12.05,0,1.34,9.37,0,4.02
22Month,10.93,0.55,1.09,1.09,0.55,0
