stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
24hpf,4.09,0,0,0,0,24.52,0
72hpf,0,0,1.07,0,0,5.35,2.14
3Month,0,0,0.32,0.32,0.32,0,0
22Month,0,2.73,0,6.01,0,0,0
