stage,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
72hpf,9.63,0,0,0,0,0,0
21Day,13.39,1.34,0,0,1.34,1.34,1.34
3Month,18.56,0,0.32,0.32,0,0,0.32
