stage,Epithelial,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0
21Day,0,0,0,0,1.34,1.34
22Month,0.55,0.55,0,0.55,0,0
