stage,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,4.09,0,0
72hpf,1.07,0,21.4,0,1.07
21Day,0,0,13.39,0,1.34
22Month,9.84,1.09,0,0.55,0
