stage,Endothelial,Epithelial,Immune,Muscle,Neuron
24hpf,4.09,0,0,0,53.12
72hpf,0,1.07,0,0,46
21Day,0,0,0,1.34,17.4
22Month,0,1.09,0.55,0,0
