stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory
24hpf,0,0,0,0,0,4.09,0,0
72hpf,2.14,1.07,0,0,0,5.35,0,1.07
21Day,0,0,0,0,0,8.03,0,0
3Month,1.92,0,0.96,1.28,0.32,0.64,0,0
22Month,0.55,0,0,0.55,0,0,3.83,0
