stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,8.17,0,0,0,20.43,0
72hpf,0,37.44,0,0,2.14,2.14,1.07
21Day,0,5.35,1.34,0,1.34,2.68,4.02
3Month,0.32,5.76,23.04,0.64,0,0,0.32
