stage,Endothelial,Epithelial,Germ,Immune,Neuron,Stromal
24hpf,0,8.17,0,4.09,44.95,4.09
72hpf,0,0,0,0,23.54,2.14
21Day,0,1.34,0,2.68,1.34,1.34
3Month,0,1.6,2.24,1.6,0,0
22Month,1.09,12.03,14.76,0,0,2.19
