stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,0,0,4.09
72hpf,0,2.14,0,0,2.14,0,1.07
21Day,0,2.68,0,0,2.68,0,6.69
3Month,0.32,3.2,0.32,0.96,0.32,0,5.76
22Month,0,9.84,0,2.19,0,1.64,6.56
