stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory
72hpf,0,8.56,6.42,0,83.44,0
21Day,0,0,0,0,13.39,2.68
3Month,0.32,2.56,0.64,0.32,24.64,0
22Month,0,16.4,1.09,0,1.09,0
