stage,Epithelial,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,8.17,0,0,0
72hpf,1.07,0,0,70.61,0,0,1.07
21Day,4.02,0,1.34,33.46,0,0,0
3Month,2.88,0,0.64,0,0,0,0
22Month,29.52,0.55,5.47,0.55,1.09,0.55,1.64
