stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Stromal
24hpf,0,0,0,0,0,0,4.09
72hpf,0,2.14,2.14,0,10.7,6.42,4.28
21Day,1.34,2.68,0,0,12.05,2.68,2.68
3Month,0,2.56,0,0.32,0.32,0,0.64
22Month,0,2.19,0,0,0.55,0,0.55
