stage,Epithelial,Germ,Immune,Neuron,Secretory
72hpf,0,0,0,3.21,0
21Day,0,0,0,2.68,0
3Month,0.32,0.32,0.32,0,0
22Month,1.09,0,1.09,0.55,0.55
