stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,8.17,0,0
72hpf,7.49,1.07,0,2.14,3.21,0,9.63
21Day,13.39,0,0,2.68,2.68,0,20.08
3Month,2.88,0,0.64,0.96,0.32,0.32,1.28
22Month,2.19,0,0,0,0.55,0,0
