stage,Endothelial,Epithelial,Muscle,Neuron,Other,Secretory,Stromal
72hpf,1.07,0,0,1.07,0,0,2.14
21Day,0,0,1.34,1.34,0,1.34,12.05
3Month,0,0.64,0,0,0,0.32,0
22Month,1.09,3.83,0,0,0.55,0,0
