stage,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,0,4.09,4.09,20.43,4.09
72hpf,0,0,0,8.56,1.07
21Day,0,0,0,2.68,0
3Month,0.64,0.32,0,0,0
22Month,3.28,0,0,0,0.55
