stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory
72hpf,0,0,0,0,1.07,0
21Day,0,0,0,0,9.37,0
3Month,0,2.24,3.84,1.28,0,0.32
22Month,1.09,7.65,0,0.55,0,0
