stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
72hpf,0,40.65,0,0,0,0,0,0
21Day,0,60.23,0,2.68,0,1.34,0,6.69
3Month,0,1.28,0.64,0.32,0,0.32,0,0.32
22Month,1.09,77.08,1.09,5.47,0.55,0.55,0.55,1.09
