stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
72hpf,0,1.07,0,0,0,5.35,0
21Day,1.34,0,0,0,0,2.68,0
3Month,3.52,0,21.12,1.28,0.64,0.96,0.64
22Month,0.55,0,0.55,0,0,0,0
