stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
24hpf,0,0,0,0,20.43,4.09,0
72hpf,1.07,0,0,1.07,1.07,0,4.28
21Day,4.02,1.34,1.34,0,1.34,0,1.34
22Month,0.55,0,0,0,0,0,0
