stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,0,5.35,0,0,0,0,0,0,0
3Month,0.64,56.31,0.32,3.2,2.88,1.28,0,0.96,1.92
22Month,0,9.29,0,0,1.09,0.55,1.09,0,0.55
