stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Stromal
24hpf,4.09,0,0,0,24.52,4.09
72hpf,2.14,0,0,1.07,3.21,2.14
21Day,1.34,0,0,0,4.02,2.68
3Month,0.96,0.32,0.64,0,0,0
22Month,0.55,0,0.55,0,0,0
