stage,Epithelial,Germ,Muscle,Neuron,Secretory
24hpf,0,0,0,8.17,0
72hpf,0,0,2.14,2.14,0
21Day,0,4.02,0,1.34,1.34
3Month,1.6,2.24,0,0,0
22Month,0.55,2.73,0,0,0
