stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,12.26,0,0,4.09,0,53.12,4.09
72hpf,0,2.14,1.07,0,3.21,2.14,10.7,2.14
21Day,0,1.34,4.02,0,4.02,2.68,9.37,6.69
3Month,0.32,2.56,0,0.32,0.32,0,0.64,0
22Month,0,3.83,0,0,0,0,0.55,0.55
