stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Other,Secretory
72hpf,0,0,0,0,2.14,0,0
21Day,0,0,0,0,4.02,0,0
3Month,0,0.96,0.32,0,2.88,0,0.32
22Month,0.55,4.92,0,1.09,6.01,0.55,0
