stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Stromal
24hpf,4.09,0,0,0,24.52,24.52
72hpf,0,1.07,0,0,1.07,23.54
21Day,0,1.34,0,1.34,0,24.09
3Month,0.32,0.96,0.32,0.96,0,9.6
