stage,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
72hpf,0,1.07,0,1.07,0,1.07
21Day,5.35,1.34,9.37,0,0,1.34
3Month,3.2,0,2.24,0,0,0
22Month,2.73,0,1.64,0,0.55,0
