stage,Endothelial,Epithelial,Erythroid,Immune,Neuron,Other,Secretory,Stromal
72hpf,0,2.14,0,0,3.21,0,0,3.21
21Day,0,10.71,0,4.02,20.08,0,1.34,1.34
3Month,0.32,16,0,1.6,2.88,0.32,0,0
22Month,0.55,97.85,0.55,4.37,16.95,5.47,1.09,0.55
