stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,8.17,0,0,8.17,0,73.56,0,0,16.35
72hpf,3.21,21.4,1.07,0,6.42,3.21,104.84,0,0,13.91
21Day,1.34,26.77,4.02,0,13.39,5.35,41.49,0,5.35,29.45
3Month,2.24,103.98,0.64,14.08,32.63,4.48,2.88,0.32,3.2,10.88
22Month,2.19,172.2,0.55,2.73,44.83,3.28,3.28,6.01,2.73,12.03
