stage,Endothelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,8.17,0,0,4.09
72hpf,0,0,0,0,7.49,0,0,1.07
21Day,0,0,0,1.34,24.09,0,0,1.34
22Month,1.09,0.55,1.09,0,4.92,1.09,4.92,0
