stage,Epithelial,Germ,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0,0,0,0,0,0,1.07
21Day,0,0,0,1.34,0,0,0
3Month,0.64,25.28,0.64,0,0,0.32,0
22Month,0,0,0,0,0.55,0,0
