stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,0,0,0,4.09
72hpf,0,0,0,0,0,0,1.07
21Day,1.34,2.68,0,2.68,1.34,0,0
3Month,3.52,0,1.28,20.8,0.64,0,0
22Month,3.28,0,0,3.28,0,0.55,0.55
