stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron
24hpf,81.73,4.09,0,0,4.09,4.09
72hpf,8.56,0,0,0,0,0
21Day,6.69,0,1.34,0,0,1.34
3Month,0.96,0.32,0,0.32,0.96,0
