stage,Endothelial,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,24.52,8.17,0,4.09
72hpf,1.07,0,2.14,2.14,0,0
21Day,0,0,9.37,4.02,0,0
3Month,0,0.32,0.64,0,0,0
22Month,0,0,1.09,0,0.55,0
