stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,65.38,4.09,0,20.43,12.26,228.84,16.35,0,32.69
72hpf,18.19,6.42,0,0,1.07,33.16,0,0,19.26
21Day,8.03,16.06,1.34,2.68,1.34,18.74,0,0,2.68
3Month,0,0,2.24,0.96,0.64,0,0,0.32,0
22Month,0,0,0,1.09,0,0,0,0,0
