stage,Epithelial,Germ,Immune,Neuron,Secretory
24hpf,0,0,0,20.43,0
21Day,0,0,8.03,4.02,0
3Month,1.28,0,11.84,0,0
22Month,10.93,2.73,4.92,0,0.55
