stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other
24hpf,0,0,0,0,4.09,0
21Day,0,2.68,0,4.02,0,0
3Month,0,0,0.32,2.56,0,0
22Month,0.55,9.29,0,0,0,0.55
